,Unnamed: 0,Price_Category,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Average_Value_County,Rent_To_Land_Ratio,Average_Value_Bedroom_Count,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,Net_Income
119,119,Standard,Four plus bed,Cork,1388.75,17875,584156,1107.281059,0.077692308,1508.663846,1818.53,2259.48,341.84,8467.08,184.82,60620
120,120,Standard,1 to 3 bed,Cork,1386.77,17875,584156,1107.281059,0.077581538,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
121,121,Standard,All bedrooms,Cork,1384.28,17875,584156,1107.281059,0.077442238,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
122,122,Standard,Three bed,Cork,1380.96,17875,584156,1107.281059,0.077256503,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
123,123,Standard,All bedrooms,Cork,1378.86,17875,584156,1107.281059,0.077139021,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
124,124,Standard,1 to 3 bed,Cork,1362.41,17875,584156,1107.281059,0.076218741,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
125,125,Standard,All bedrooms,Cork,1361.46,17875,584156,1107.281059,0.076165594,1123.136471,1818.53,2259.48,341.84,8467.08,184.82,60620
126,126,Standard,Three bed,Cork,1359.65,17875,584156,1107.281059,0.076064336,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
127,127,Standard,Three bed,Cork,1344.39,17875,584156,1107.281059,0.075210629,1173.547692,1818.53,2259.48,341.84,8467.08,184.82,60620
128,128,Standard,Two bed,Cork,1338.48,17875,584156,1107.281059,0.07488,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
129,129,Standard,Two bed,Cork,1334.21,17875,584156,1107.281059,0.074641119,1068.4544,1818.53,2259.48,341.84,8467.08,184.82,60620
130,130,Standard,1 to 3 bed,Cork,1330.94,17875,584156,1107.281059,0.074458182,1080.637647,1818.53,2259.48,341.84,8467.08,184.82,60620
